"_","Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","Display_Order__c","Logo_URL__c"
"[Skill__c]","a0AgL000005Jn5OUAS","005gL00000FcuTZQAZ","false","GitHub","2026-03-04T18:03:24.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:20:19.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:20:19.000+0000","2026-03-07T19:20:19.000+0000","2026-03-07T19:20:19.000+0000","7","/sfsites/c/resource/Resource_for_Portfolio/Images/GitHub-logo.png"
"[Skill__c]","a0AgL000005JpDdUAK","005gL00000FcuTZQAZ","false","Apex","2026-03-04T18:01:54.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:32.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:32.000+0000","2026-03-07T19:15:32.000+0000","2026-03-07T19:15:32.000+0000","1","/sfsites/c/resource/Resource_for_Portfolio/Images/Apex-logo.jpg"
"[Skill__c]","a0AgL000005JpFFUA0","005gL00000FcuTZQAZ","false","JavaScript","2026-03-04T18:02:07.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:20:51.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:20:51.000+0000","2026-03-07T19:20:51.000+0000","2026-03-07T19:20:51.000+0000","2","/sfsites/c/resource/Resource_for_Portfolio/Images/javascript-logo.webp"
"[Skill__c]","a0AgL000005JpGrUAK","005gL00000FcuTZQAZ","false","Lightning Web Component","2026-03-04T18:02:19.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:00.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:00.000+0000","2026-03-07T19:12:00.000+0000","2026-03-07T19:12:00.000+0000","3","/sfsites/c/resource/Resource_for_Portfolio/Images/Salesforce.png"
"[Skill__c]","a0AgL000005JpITUA0","005gL00000FcuTZQAZ","false","Flows","2026-03-04T18:02:27.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:30.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:30.000+0000","2026-03-07T19:12:30.000+0000","2026-03-07T19:12:30.000+0000","3","/sfsites/c/resource/Resource_for_Portfolio/Images/flow.png"
"[Skill__c]","a0AgL000005JpK5UAK","005gL00000FcuTZQAZ","false","Rest API","2026-03-04T18:02:37.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:13:25.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:13:25.000+0000","2026-03-07T19:13:25.000+0000","2026-03-07T19:13:25.000+0000","4","/sfsites/c/resource/Resource_for_Portfolio/Images/Rest-Api.png"
"[Skill__c]","a0AgL000005JpOvUAK","005gL00000FcuTZQAZ","false","HTML","2026-03-04T18:02:57.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:16.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:16.000+0000","2026-03-07T19:12:16.000+0000","2026-03-07T19:12:16.000+0000","5","/sfsites/c/resource/Resource_for_Portfolio/Images/html-logo.jpg"
"[Skill__c]","a0AgL000005JpQXUA0","005gL00000FcuTZQAZ","false","PostMan","2026-03-04T18:03:12.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:13:40.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:13:40.000+0000","2026-03-07T19:13:40.000+0000","2026-03-07T19:13:40.000+0000","6","/sfsites/c/resource/Resource_for_Portfolio/Images/postman.webp"
"[Skill__c]","a0AgL000005MiM5UAK","005gL00000FcuTZQAZ","false","Jira","2026-03-07T05:31:52.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:14:11.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:14:11.000+0000","2026-03-07T19:14:11.000+0000","2026-03-07T19:14:11.000+0000","9","/sfsites/c/resource/Resource_for_Portfolio/Images/jira.png"
"[Skill__c]","a0AgL000005MiNhUAK","005gL00000FcuTZQAZ","false","SOQL","2026-03-07T05:32:20.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:14:26.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:14:26.000+0000","2026-03-07T19:14:26.000+0000","2026-03-07T19:14:26.000+0000","10","/sfsites/c/resource/Resource_for_Portfolio/Images/Salesforce.png"
"[Skill__c]","a0AgL000005MiPJUA0","005gL00000FcuTZQAZ","false","SOSL","2026-03-07T05:32:30.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:14:42.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:14:42.000+0000","2026-03-07T19:14:42.000+0000","2026-03-07T19:14:42.000+0000","11","/sfsites/c/resource/Resource_for_Portfolio/Images/Salesforce.png"
"[Skill__c]","a0AgL000005MiSXUA0","005gL00000FcuTZQAZ","false","Triggers","2026-03-07T05:32:41.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:07.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:07.000+0000","2026-03-07T19:15:07.000+0000","2026-03-07T19:15:07.000+0000","12","/sfsites/c/resource/Resource_for_Portfolio/Images/Salesforce.png"
"[Skill__c]","a0AgL000005MiU9UAK","005gL00000FcuTZQAZ","false","Async Apex","2026-03-07T05:33:10.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:57.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:57.000+0000","2026-03-07T19:15:57.000+0000","2026-03-07T19:15:57.000+0000","13","/sfsites/c/resource/Resource_for_Portfolio/Images/async-APex.webp"
"[Skill__c]","a0AgL000005MiYzUAK","005gL00000FcuTZQAZ","false","Record-Triggered Flows","2026-03-07T05:33:25.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:42.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:42.000+0000","2026-03-07T19:12:42.000+0000","2026-03-07T19:12:42.000+0000","14","/sfsites/c/resource/Resource_for_Portfolio/Images/flow.png"
"[Skill__c]","a0AgL000005MiabUAC","005gL00000FcuTZQAZ","false","Screen Flows","2026-03-07T05:33:38.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:13:11.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:13:11.000+0000","2026-03-07T19:13:11.000+0000","2026-03-07T19:13:11.000+0000","15","/sfsites/c/resource/Resource_for_Portfolio/Images/flow.png"
"[Skill__c]","a0AgL000005MicDUAS","005gL00000FcuTZQAZ","false","Autolaunch Flows","2026-03-07T05:33:47.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:55.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:12:55.000+0000","2026-03-07T19:12:55.000+0000","2026-03-07T19:12:55.000+0000","16","/sfsites/c/resource/Resource_for_Portfolio/Images/flow.png"
"[Skill__c]","a0AgL000005MidpUAC","005gL00000FcuTZQAZ","false","Trigger Action Flow Framework","2026-03-07T05:33:57.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:16:26.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:16:26.000+0000","2026-03-07T19:16:26.000+0000","2026-03-07T19:16:26.000+0000","17","/sfsites/c/resource/Resource_for_Portfolio/Images/Salesforce.png"
"[Skill__c]","a0AgL000005MifRUAS","005gL00000FcuTZQAZ","false","Financial Services Cloud","2026-03-07T05:34:09.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:16:09.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:16:09.000+0000","2026-03-07T19:16:09.000+0000","2026-03-07T19:16:09.000+0000","18","/sfsites/c/resource/Resource_for_Portfolio/Images/financial-services-cloud-circle.png"
"[Skill__c]","a0AgL000005Mih3UAC","005gL00000FcuTZQAZ","false","Custom Metadata","2026-03-07T05:34:25.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:20.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:20.000+0000","2026-03-07T19:15:20.000+0000","2026-03-07T19:15:20.000+0000","19","/sfsites/c/resource/Resource_for_Portfolio/Images/Salesforce.png"
"[Skill__c]","a0AgL000005MiifUAC","005gL00000FcuTZQAZ","false","REST API","2026-03-07T05:34:36.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:44.000+0000","005gL00000FcuTZQAZ","2026-03-07T19:15:44.000+0000","2026-03-07T19:15:44.000+0000","2026-03-07T19:15:44.000+0000","20","/sfsites/c/resource/Resource_for_Portfolio/Images/Rest-Api.png"